date,consensus_change_pp
2026-01-28,0.0
2026-03-18,0.0
2026-04-29,0.0
2026-06-17,-0.25
2026-07-29,0.0
2026-09-16,0.0
2026-10-28,0.0
2026-12-09,0.0
