date,consensus_nfp_k
2025-06-01,111
2025-07-01,106
2025-08-01,75
2025-09-01,53
2025-10-01,108
2025-11-01,51
2025-12-01,66
2026-01-01,66
2026-02-01,58
2026-03-01,65
2026-04-01,178
